HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
63.1116	1.6418	0.0384	0.1372	3.3179
63.2640	1.6331	0.0280	0.1233	3.1869
63.4164	1.6366	0.0254	0.0843	3.1780
63.5688	1.6371	0.0272	0.0943	3.1175
63.7212	1.6350	0.0351	0.1411	3.1271
63.8736	1.6286	0.0407	0.1899	3.1227
64.0260	1.6420	0.0474	0.1834	3.1002
64.1784	1.6525	0.0433	0.1428	3.1717
64.3308	1.6666	0.0508	0.1596	3.1125
64.4832	1.6616	0.0479	0.1483	3.1745
64.6356	1.6749	0.0580	0.1132	3.2202
64.7880	1.6895	0.0447	0.1000	3.1502
64.9404	1.7058	0.0465	0.1333	3.1080
65.0928	1.6997	0.0416	0.1894	3.1333
65.2452	1.6828	0.0342	0.1636	3.1013
65.3976	1.6704	0.0313	0.1067	2.9758
65.5500	1.6810	0.0370	0.0764	2.8209
65.7024	1.6890	0.0441	0.0662	2.9586
65.8548	1.6966	0.0496	0.0618	2.9633
66.0072	1.6811	0.0465	0.0741	2.9825
66.1596	1.6828	0.0514	0.1026	2.9681
66.3120	1.6877	0.0549	0.1295	3.1046
66.4644	1.7073	0.0623	0.1240	3.1545
66.6168	1.7142	0.0599	0.0764	3.1146
66.7692	1.7182	0.0568	0.0866	3.1474
66.9216	1.7205	0.0525	0.1087	3.0426
67.0740	1.7186	0.0489	0.1255	3.0177
67.2264	1.7156	0.0458	0.0967	3.1383
67.3788	1.7194	0.0391	0.0409	3.2044
67.5312	1.7245	0.0399	0.0614	3.2098
67.6836	1.7323	0.0451	0.1127	3.1021
67.8360	1.7270	0.0479	0.1431	3.0830
67.9884	1.7262	0.0502	0.1360	3.1711
68.1408	1.7063	0.0457	0.1162	3.1932
68.2932	1.6919	0.0433	0.1166	3.2523
68.4456	1.6705	0.0341	0.1130	3.2239
68.5980	1.6649	0.0286	0.0960	3.2070
68.7504	1.6630	0.0224	0.0686	3.1788
68.9028	1.6758	0.0237	0.0754	3.1917
69.0552	1.6892	0.0298	0.0750	3.1668
69.2076	1.7005	0.0392	0.0814	3.1763
69.3600	1.6984	0.0383	0.0901	3.2428
69.5124	1.7017	0.0389	0.1018	3.1981
69.6648	1.6969	0.0364	0.0890	3.2704
69.8172	1.6999	0.0404	0.0640	3.2551
69.9696	1.6922	0.0422	0.0431	3.4652
70.1220	1.6913	0.0431	0.0286	3.4857
70.2744	1.6923	0.0431	0.0390	3.4641
70.4268	1.6943	0.0367	0.0776	3.3448
70.5792	1.6961	0.0357	0.1003	3.1986
70.7316	1.6868	0.0313	0.0983	3.2128
70.8840	1.6752	0.0289	0.0997	3.2293
71.0364	1.6657	0.0222	0.0907	3.2380
71.1888	1.6704	0.0286	0.0694	3.3824
71.3412	1.6811	0.0335	0.0379	3.2077
71.4936	1.6844	0.0326	0.0369	2.9996
71.6460	1.6745	0.0249	0.0278	2.7783
71.7984	1.6680	0.0212	0.0569	2.9007
71.9508	1.6731	0.0268	0.0952	3.1634
72.1032	1.6745	0.0283	0.1033	3.2731
72.2556	1.6731	0.0265	0.1103	3.2243
72.4080	1.6680	0.0213	0.0877	3.1796
72.5604	1.6768	0.0268	0.0787	3.2141
72.7128	1.6938	0.0339	0.0749	3.1956
72.8652	1.6906	0.0351	0.0474	3.1871
73.0176	1.6927	0.0400	0.0277	3.1547
73.1700	1.6752	0.0328	0.0265	3.0956
73.3224	1.6783	0.0329	0.0751	3.0931
73.4748	1.6676	0.0196	0.1284	2.9726
73.6272	1.6740	0.0206	0.1498	3.1021
73.7796	1.6718	0.0165	0.1321	3.1539
73.9320	1.6836	0.0176	0.0739	3.2633
74.0844	1.6947	0.0117	0.0596	3.4366
74.2368	1.7150	0.0184	0.0508	3.4283
74.3892	1.7044	0.0171	0.0763	3.4043
74.5416	1.6945	0.0205	0.0880	3.1786
74.6940	1.6766	0.0147	0.0841	3.1343
74.8464	1.6734	0.0149	0.0710	3.1780
74.9988	1.6768	0.0162	0.0429	3.2780
75.1512	1.6791	0.0162	0.0370	3.2971
75.3036	1.6912	0.0220	0.0653	3.2486
75.4560	1.6920	0.0191	0.0760	3.1615
75.6084	1.6904	0.0141	0.0623	3.1061
75.7608	1.6853	0.0087	0.0283	3.0873
75.9132	1.6788	0.0037	0.0112	3.1257
76.0656	1.6860	0.0082	0.0380	3.1631
76.2180	1.6805	0.0047	0.0797	3.1378
76.3704	1.6759	0.0034	0.1107	3.1266
76.5228	1.6621	-0.0008	0.1022	3.2236
76.6752	1.6539	0.0042	0.0936	3.5168
76.8276	1.6464	0.0046	0.0831	3.5247
76.9800	1.6418	0.0033	0.0982	3.4888
77.1324	1.6439	0.0008	0.0715	3.3129
77.2848	1.6616	0.0124	0.0845	3.2753
77.4372	1.6912	0.0292	0.0793	3.3373
77.5896	1.7060	0.0385	0.0755	3.3315
77.7420	1.7140	0.0441	0.0607	3.3609
77.8944	1.7093	0.0405	0.0716	3.2597
78.0468	1.6997	0.0346	0.0659	3.0767
78.1992	1.6910	0.0307	0.0567	3.1758
78.3516	1.6921	0.0347	0.0232	3.3529
78.5040	1.7058	0.0420	0.0354	3.4434
78.6564	1.7120	0.0470	0.0556	3.4025
78.8088	1.7147	0.0458	0.0715	3.2374
78.9612	1.7185	0.0491	0.0911	3.3492
79.1136	1.7208	0.0445	0.0633	3.2928
79.2660	1.7305	0.0466	0.0518	3.3997
79.4184	1.7379	0.0490	0.0545	3.3237
79.5708	1.7492	0.0595	0.0394	3.3260
79.7232	1.7210	0.0506	0.0880	3.1214
79.8756	1.6963	0.0484	0.1307	3.0918
80.0280	1.6791	0.0507	0.1581	3.1135
80.1804	1.6804	0.0514	0.1012	3.1369
80.3328	1.6774	0.0468	0.0759	3.1604
80.4852	1.6686	0.0342	0.0461	3.2590
80.6376	1.6643	0.0333	0.0723	3.4274
80.7900	1.6738	0.0439	0.0800	3.4996
80.9424	1.6764	0.0515	0.0884	3.3226
81.0948	1.6834	0.0558	0.1055	3.3459
81.2472	1.6907	0.0459	0.1085	3.2507
81.3996	1.7111	0.0402	0.1136	3.2578
81.5520	1.7137	0.0322	0.1108	3.1401
81.7044	1.7132	0.0265	0.1083	3.3102
81.8568	1.7000	0.0181	0.1074	3.3693
82.0092	1.6953	0.0097	0.1031	3.2343
82.1616	1.6972	0.0092	0.1014	3.1641
