HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	380.1036
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
9.4668	0.8368	0.6528	0.4474	0.8439	0.8832
9.4973	0.8414	0.7321	0.4714	0.8386	0.8849
9.5278	0.8001	0.8120	0.5341	0.8367	0.8817
9.5582	0.8396	0.7329	0.5921	0.8402	0.8803
9.5887	0.8780	0.6435	0.5692	0.8440	0.8822
9.6192	0.7962	0.6698	0.4512	0.8515	0.8811
9.6497	0.7768	0.7391	0.4773	0.8482	0.8770
9.6802	0.8283	0.7963	0.6216	0.8425	0.8820
9.7106	0.8685	0.7724	0.6757	0.8453	0.8760
9.7411	0.8509	0.6690	0.5621	0.8464	0.8815
9.7716	0.8079	0.6856	0.4439	0.8431	0.8799
9.8021	0.7945	0.7643	0.4765	0.8330	0.8771
9.8326	0.8078	0.8117	0.5588	0.8253	0.8863
9.8630	0.8357	0.7552	0.6518	0.8327	0.8878
9.8935	0.8408	0.6441	0.6275	0.8417	0.8789
9.9240	0.7665	0.6670	0.4648	0.8411	0.8764
9.9545	0.7752	0.7498	0.4604	0.8429	0.8834
9.9850	0.8586	0.8112	0.6269	0.8399	0.8852
10.0154	0.8816	0.7737	0.6151	0.8218	0.8837
10.0459	0.8301	0.6612	0.5052	0.8334	0.8832
10.0764	0.7798	0.6677	0.4483	0.8299	0.8932
10.1069	0.7969	0.7421	0.4284	0.8172	0.8832
10.1374	0.8161	0.7686	0.5177	0.8106	0.8793
10.1678	0.8344	0.7131	0.6536	0.8167	0.8790
10.1983	0.8231	0.6393	0.6889	0.8205	0.8867
10.2288	0.7603	0.6162	0.5491	0.8282	0.8859
10.2593	0.7388	0.6927	0.4315	0.8206	0.8802
10.2898	0.8387	0.7972	0.4304	0.8187	0.8839
10.3202	0.8430	0.8269	0.4989	0.8336	0.8817
10.3507	0.8008	0.7140	0.6324	0.8261	0.8870
10.3812	0.7940	0.6373	0.7424	0.8320	0.8870
10.4117	0.7722	0.6245	0.5501	0.8335	0.8830
10.4422	0.8177	0.6748	0.4676	0.8356	0.8809
10.4726	0.8823	0.7697	0.4441	0.8442	0.8841
10.5031	0.8791	0.8321	0.4727	0.8560	0.8909
10.5336	0.7882	0.7386	0.6034	0.8294	0.8810
10.5641	0.7647	0.6493	0.4799	0.8257	0.8902
10.5946	0.7652	0.6401	0.4864	0.8325	0.8995
10.6250	0.8140	0.6857	0.4934	0.8416	0.8972
10.6555	0.8706	0.7751	0.4942	0.8499	0.8853
10.6860	0.8791	0.6750	0.4942	0.8357	0.9103
10.7165	0.8415	0.6792	0.4936	0.8452	0.8821
10.7470	0.7895	0.6863	0.4961	0.8486	0.9058
10.7774	0.7898	0.7020	0.4896	0.8416	0.8940
10.8079	0.8110	0.7066	0.4696	0.8529	0.8873
10.8384	0.8700	0.6869	0.4791	0.8474	0.8934
10.8689	0.8079	0.6993	0.4986	0.8446	0.9046
10.8994	0.8153	0.7252	0.4897	0.8405	0.8877
10.9298	0.8250	0.7136	0.5140	0.8369	0.8935
10.9603	0.8434	0.7007	0.5174	0.8386	0.8941
10.9908	0.8441	0.7144	0.5113	0.8558	0.8915
11.0213	0.8251	0.7257	0.5141	0.8722	0.8910
11.0518	0.8466	0.7530	0.5475	0.8689	0.9010
11.0822	0.8494	0.7607	0.5231	0.8640	0.8939
11.1127	0.8266	0.7425	0.5119	0.8572	0.8968
11.1432	0.8217	0.7282	0.5268	0.8497	0.8957
11.1737	0.8149	0.7516	0.5417	0.8481	0.8940
11.2042	0.8271	0.7309	0.5570	0.8454	0.8940
11.2346	0.8487	0.7101	0.5266	0.8403	0.8952
11.2651	0.8269	0.7035	0.5318	0.8298	0.9031
11.2956	0.8048	0.7094	0.5563	0.8340	0.9056
11.3261	0.7919	0.7299	0.5494	0.8329	0.8984
11.3566	0.8065	0.7099	0.5623	0.8282	0.8975
11.3870	0.7956	0.7027	0.5713	0.8216	0.9017
11.4175	0.7866	0.7176	0.5713	0.8183	0.9000
11.4480	0.7821	0.7015	0.5713	0.8129	0.8978
11.4785	0.7854	0.7143	0.5787	0.8049	0.9036
11.5090	0.7949	0.6926	0.5906	0.8142	0.8982
11.5394	0.7734	0.7823	0.5998	0.8190	0.9101
11.5699	0.7805	0.7822	0.6101	0.8174	0.9058
11.6004	0.8052	0.7897	0.5745	0.8266	0.9076
11.6309	0.8080	0.8052	0.6116	0.8356	0.8999
11.6614	0.8403	0.8174	0.5754	0.8361	0.9028
11.6918	0.8498	0.7852	0.5718	0.8404	0.9127
11.7223	0.8493	0.7993	0.5994	0.8475	0.8973
11.7528	0.8488	0.8251	0.5743	0.8386	0.9018
11.7833	0.8632	0.8037	0.5595	0.8477	0.9040
11.8138	0.8730	0.7795	0.5722	0.8519	0.9052
11.8442	0.8492	0.7708	0.5876	0.8572	0.9047
11.8747	0.8594	0.7621	0.5649	0.8386	0.9043
11.9052	0.8509	0.7485	0.5544	0.8388	0.9084
11.9357	0.8613	0.7457	0.5561	0.8384	0.9076
11.9662	0.8386	0.7530	0.5512	0.8343	0.9011
11.9966	0.8401	0.7465	0.5656	0.8506	0.9028
12.0271	0.8659	0.7492	0.5606	0.8501	0.9039
12.0576	0.8870	0.7683	0.5612	0.8609	0.9038
12.0881	0.9149	0.7638	0.5659	0.8677	0.9030
12.1186	0.9332	0.7833	0.5973	0.8673	0.9026
12.1490	0.9340	0.7742	0.5885	0.8730	0.9042
12.1795	0.9071	0.7736	0.5842	0.8780	0.9057
12.2100	0.8727	0.7735	0.5991	0.8812	0.9038
12.2405	0.8789	0.7917	0.6088	0.8824	0.9022
12.2710	0.8694	0.7868	0.6010	0.8812	0.9028
12.3014	0.8769	0.7840	0.5808	0.8748	0.9048
12.3319	0.8641	0.7795	0.6007	0.8777	0.9020
12.3624	0.8545	0.7748	0.5856	0.8692	0.9096
12.3929	0.8549	0.7712	0.5677	0.8644	0.9082
12.4234	0.8558	0.7644	0.5647	0.8686	0.9011
12.4538	0.8702	0.7781	0.5806	0.8684	0.9041
12.4843	0.8663	0.7738	0.5900	0.8712	0.9014
12.5148	0.8646	0.7601	0.5996	0.8652	0.9051
12.5453	0.8658	0.7517	0.5775	0.8603	0.9055
12.5758	0.8621	0.7538	0.5753	0.8510	0.9042
12.6062	0.8352	0.7600	0.5880	0.8468	0.9096
12.6367	0.8411	0.7526	0.5888	0.8413	0.9206
12.6672	0.8118	0.7559	0.5524	0.8278	0.9081
12.6977	0.7861	0.7491	0.5434	0.8039	0.9046
12.7282	0.7849	0.7448	0.5268	0.8061	0.9065
12.7586	0.8146	0.7413	0.5228	0.8084	0.9062
12.7891	0.8092	0.7111	0.5352	0.8135	0.9122
12.8196	0.8182	0.7243	0.5592	0.8218	0.9036
12.8501	0.7900	0.7283	0.5438	0.8324	0.9083
12.8806	0.8032	0.7237	0.5518	0.8405	0.9137
12.9110	0.8187	0.7234	0.5541	0.8522	0.9057
12.9415	0.8292	0.7567	0.5525	0.8467	0.9062
12.9720	0.8409	0.7571	0.5633	0.8421	0.9039
13.0025	0.8216	0.7633	0.5633	0.8511	0.9083
13.0330	0.8222	0.7522	0.5558	0.8479	0.9096
13.0634	0.8237	0.7387	0.5614	0.8565	0.9037
13.0939	0.8181	0.7454	0.5440	0.8734	0.9042
13.1244	0.8038	0.7417	0.5390	0.8621	0.9063
13.1549	0.7972	0.7367	0.5406	0.8533	0.8958
13.1854	0.7923	0.7406	0.5387	0.8390	0.8953
13.2158	0.7761	0.7258	0.5309	0.8152	0.8960
13.2463	0.7668	0.7267	0.5210	0.8026	0.8965
13.2768	0.7737	0.7279	0.5257	0.7769	0.8970
13.3073	0.7632	0.7230	0.5178	0.7723	0.8998
13.3378	0.7427	0.7121	0.5250	0.7754	0.9001
13.3682	0.7525	0.7004	0.5336	0.7761	0.8991
13.3987	0.7558	0.7135	0.5197	0.7946	0.9016
13.4292	0.7355	0.6905	0.5053	0.7924	0.9014
13.4597	0.7519	0.6980	0.5017	0.7889	0.8996
13.4902	0.7611	0.6975	0.5101	0.7970	0.8987
13.5206	0.7654	0.6829	0.4834	0.7925	0.8985
13.5511	0.7715	0.6742	0.4920	0.7952	0.8999
13.5816	0.7729	0.6848	0.4995	0.7935	0.9004
13.6121	0.7720	0.6905	0.4951	0.7913	0.8993
13.6426	0.7944	0.6867	0.4925	0.7903	0.9008
13.6730	0.7780	0.6856	0.4970	0.7900	0.9028
