HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	DCAL
m	in
188.5368	0.1902
188.6892	0.1443
188.8416	0.1323
188.9940	0.1042
189.1464	0.1742
189.2988	0.2119
189.4512	0.1396
189.6036	0.2784
189.7560	0.3191
189.9084	0.3691
190.0608	0.4564
190.2132	0.4680
190.3656	0.4307
190.5180	0.3380
190.6704	0.3120
190.8228	0.2953
190.9752	0.2538
191.1276	0.2033
191.2800	0.2622
191.4324	0.2312
191.5848	0.2155
191.7372	0.0987
191.8896	0.1182
192.0420	0.0799
192.1944	0.2100
192.3468	0.3058
192.4992	0.3660
192.6516	0.2486
192.8040	0.1401
192.9564	0.1103
193.1088	0.1096
193.2612	0.1023
193.4136	0.1642
193.5660	0.1069
193.7184	0.1349
193.8708	0.1404
194.0232	0.0703
194.1756	0.1117
194.3280	0.0941
194.4804	0.0912
194.6328	0.0671
194.7852	0.0981
194.9376	0.0544
195.0900	0.0968
195.2424	0.2001
195.3948	0.2504
195.5472	0.1874
195.6996	0.0339
195.8520	0.1804
196.0044	0.2443
196.1568	0.1887
196.3092	0.2145
196.4616	0.2142
196.6140	0.2794
196.7664	0.2618
196.9188	0.3059
197.0712	0.2512
197.2236	0.1766
197.3760	0.1344
197.5284	0.1690
197.6808	0.1697
197.8332	0.1252
197.9856	0.1383
198.1380	0.1358
198.2904	0.1561
198.4428	0.1795
198.5952	0.2080
198.7476	0.2028
198.9000	0.1653
199.0524	0.0454
199.2048	0.0610
199.3572	0.1852
199.5096	0.0833
199.6620	0.1008
199.8144	0.1728
199.9668	0.1561
200.1192	0.2069
200.2716	0.1917
200.4240	0.1603
200.5764	0.1219
200.7288	0.0748
200.8812	0.1009
201.0336	0.0361
201.1860	0.0863
201.3384	0.0851
201.4908	0.0859
201.6432	0.0605
201.7956	0.0917
201.9480	0.1062
202.1004	0.1015
202.2528	0.0803
202.4052	0.0998
202.5576	0.1720
202.7100	0.2497
202.8624	0.3041
203.0148	0.2719
203.1672	0.2112
203.3196	0.1183
203.4720	0.0827
203.6244	0.1160
203.7768	0.1538
203.9292	0.1143
204.0816	0.1334
204.2340	0.0974
204.3864	0.1317
204.5388	0.1402
204.6912	0.2310
204.8436	0.2006
204.9960	0.1865
205.1484	0.1687
205.3008	0.1595
205.4532	0.2254
205.6056	0.2465
205.7580	0.3046
205.9104	0.2430
206.0628	0.2096
206.2152	0.1939
206.3676	0.2418
206.5200	0.3168
206.6724	0.2576
206.8248	0.1727
206.9772	0.0889
207.1296	0.0317
207.2820	0.0838
207.4344	0.0918
207.5868	0.1423
207.7392	0.1505
207.8916	0.1330
208.0440	0.1510
208.1964	0.1941
208.3488	0.2472
208.5012	0.2104
208.6536	0.1168
