HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	350.6904
DEPTH_LSF	TNPH
m	%
130.0152	66.5149
130.1676	60.1618
130.3200	62.7739
130.4724	58.2409
130.6248	60.1953
130.7772	58.8643
130.9296	59.6521
131.0820	58.6232
131.2344	58.0140
131.3868	56.8147
131.5392	57.6850
131.6916	60.9007
131.8440	60.5390
131.9964	60.8714
132.1488	59.8063
132.3012	60.3110
132.4536	60.7595
132.6060	57.6214
132.7584	59.3298
132.9108	57.5360
133.0632	58.0891
133.2156	60.4090
133.3680	61.5632
133.5204	60.5927
133.6728	55.7626
133.8252	55.8587
133.9776	57.2245
134.1300	61.5618
134.2824	68.7201
134.4348	67.8958
134.5872	65.3374
134.7396	61.4083
134.8920	62.1700
135.0444	61.8497
135.1968	57.2094
135.3492	55.7221
135.5016	57.6575
135.6540	59.4524
135.8064	62.5270
135.9588	59.1384
136.1112	61.6876
136.2636	61.5147
136.4160	59.6124
136.5684	59.7799
136.7208	57.0641
136.8732	60.6987
137.0256	61.4172
137.1780	66.5482
137.3304	66.8747
137.4828	61.7340
137.6352	60.4829
137.7876	59.9819
137.9400	63.6105
138.0924	61.4072
138.2448	58.3875
138.3972	59.8830
138.5496	58.8717
138.7020	64.1251
138.8544	61.3355
139.0068	67.4308
139.1592	72.2806
139.3116	73.4353
139.4640	67.1801
139.6164	62.4455
139.7688	59.0931
139.9212	60.3175
140.0736	56.3825
140.2260	59.2216
140.3784	64.5534
140.5308	67.7036
140.6832	66.2924
140.8356	60.6077
140.9880	59.8472
141.1404	58.9286
141.2928	58.5537
141.4452	60.7420
141.5976	58.7073
141.7500	55.6893
141.9024	53.3713
142.0548	54.3839
142.2072	58.9490
142.3596	61.1239
142.5120	67.5966
142.6644	62.4684
142.8168	63.6321
142.9692	58.6809
143.1216	62.8580
143.2740	65.3234
143.4264	66.9098
143.5788	65.2369
143.7312	61.7404
143.8836	62.1353
144.0360	64.4195
144.1884	64.6038
144.3408	62.5998
144.4932	65.9798
144.6456	67.1807
144.7980	62.4789
144.9504	55.0624
145.1028	55.3498
145.2552	58.3783
145.4076	60.9756
145.5600	60.7161
145.7124	60.3846
145.8648	57.6319
146.0172	51.8320
146.1696	51.1675
146.3220	54.0927
146.4744	60.0501
146.6268	61.7591
146.7792	61.9602
146.9316	63.5853
147.0840	63.6560
147.2364	63.5765
147.3888	61.2318
147.5412	58.2114
147.6936	56.9523
147.8460	55.6789
147.9984	59.7684
148.1508	59.8139
148.3032	63.1154
148.4556	60.1856
148.6080	59.4200
148.7604	58.7033
148.9128	60.0201
149.0652	62.6103
149.2176	62.6944
149.3700	62.6227
149.5224	60.4110
149.6748	57.6778
149.8272	56.3198
149.9796	58.5433
150.1320	62.3597
150.2844	66.1091
150.4368	59.3956
150.5892	58.4877
150.7416	59.6440
150.8940	65.0258
151.0464	65.2363
151.1988	62.7899
151.3512	59.0625
151.5036	57.3348
151.6560	59.1250
151.8084	61.1783
151.9608	60.4098
152.1132	58.9720
152.2656	59.1148
152.4180	59.4377
152.5704	58.3763
152.7228	57.1150
152.8752	56.9212
153.0276	60.2903
153.1800	63.9686
153.3324	62.2535
153.4848	58.8740
153.6372	55.3355
153.7896	58.3108
153.9420	60.1859
154.0944	62.9846
154.2468	63.5322
154.3992	59.4601
154.5516	56.0299
154.7040	51.6847
154.8564	52.7259
155.0088	56.7775
155.1612	59.7971
155.3136	58.4516
155.4660	56.0708
155.6184	54.6253
155.7708	53.3202
155.9232	55.7179
156.0756	57.6571
156.2280	60.2337
156.3804	57.6240
156.5328	56.9384
156.6852	58.1516
156.8376	56.0032
156.9900	55.2700
157.1424	52.0019
157.2948	53.6790
157.4472	54.1583
157.5996	57.4273
157.7520	54.4891
157.9044	54.1234
158.0568	54.6322
158.2092	54.7513
158.3616	55.4305
158.5140	52.1200
158.6664	51.8232
