HOLE:	1230A
LEG:	201
TOP:	81.0763
BOTTOM:	279.9583
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
180.7459	0.9980	1.0347	0.9324
180.8983	0.9963	1.0179	0.9080
181.0507	0.9887	0.9940	0.8415
181.2031	0.9713	0.9709	0.8337
181.3555	0.9663	0.9565	0.8355
181.5079	0.9592	0.9545	0.8570
181.6603	0.9576	0.9643	0.8729
181.8127	0.9599	0.9807	0.8738
181.9651	0.9650	0.9967	0.8892
182.1175	0.9661	1.0056	0.9324
182.2699	0.9667	1.0045	0.9116
182.4223	0.9681	0.9945	0.9177
182.5747	0.9646	0.9798	0.8913
182.7271	0.9606	0.9658	0.8580
182.8795	0.9598	0.9571	0.8654
183.0319	0.9554	0.9548	0.8831
183.1843	0.9538	0.9575	0.8788
183.3367	0.9569	0.9633	0.8590
183.4891	0.9687	0.9717	0.8667
183.6415	0.9920	0.9843	0.8483
183.7939	1.0147	1.0032	0.8568
183.9463	1.0402	1.0298	0.8841
184.0987	1.0493	1.0626	0.9604
184.2511	1.0575	1.0958	0.9810
184.4035	1.0770	1.1221	1.0518
