HOLE:	1230A
LEG:	201
TOP:	79.0956
BOTTOM:	261.9756
DEPTH_WMSF	DTCO	DT2	DTST	VCO	VS2	VST
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
127.4064	166.5700	514.7858	220.9500	1.8299	0.5921	1.3795
127.5588	164.4042	514.5994	218.9668	1.8540	0.5923	1.3920
127.7112	164.2953	514.5527	208.0822	1.8552	0.5924	1.4648
127.8636	171.0110	514.3196	211.9970	1.7824	0.5926	1.4378
128.0160	170.5782	515.1224	203.3385	1.7869	0.5917	1.4990
128.1684	171.2121	514.9170	209.9636	1.7803	0.5919	1.4517
128.3208	171.6671	575.8401	218.9585	1.7756	0.5293	1.3921
128.4732	172.8083	698.3506	215.6540	1.7638	0.4365	1.4134
128.6256	176.3771	683.7401	212.7227	1.7281	0.4458	1.4329
128.7780	178.6883	726.4897	210.4959	1.7058	0.4196	1.4480
128.9304	180.3595	732.2544	183.0891	1.6900	0.4163	1.6648
129.0828	180.7730	732.2544	196.0054	1.6861	0.4163	1.5551
129.2352	180.4751	732.2544	189.1004	1.6889	0.4163	1.6119
129.3876	180.1771	650.4783	193.0421	1.6917	0.4686	1.5789
129.5400	179.8792	650.4783	192.2932	1.6945	0.4686	1.5851
129.6924	179.5812	712.8843	182.8206	1.6973	0.4276	1.6672
129.8448	179.2833	712.7323	182.8206	1.7001	0.4277	1.6672
129.9972	178.9853	713.1839	203.1622	1.7030	0.4274	1.5003
130.1496	178.6874	713.1839	203.1622	1.7058	0.4274	1.5003
130.3020	178.3894	713.1839	203.1622	1.7086	0.4274	1.5003
130.4544	178.8106	713.1839	190.4514	1.7046	0.4274	1.6004
130.6068	179.2318	713.1839	187.1872	1.7006	0.4274	1.6283
130.7592	175.4292	713.1839	187.1872	1.7375	0.4274	1.6283
130.9116	180.0742	713.1839	187.1872	1.6927	0.4274	1.6283
131.0640	180.4954	713.6354	204.2260	1.6887	0.4271	1.4925
131.2164	180.9166	713.6354	200.6976	1.6848	0.4271	1.5187
131.3688	180.8555	681.1853	203.8661	1.6853	0.4475	1.4951
131.5212	181.5546	648.7352	211.5113	1.6789	0.4698	1.4411
131.6736	180.7055	649.5563	192.3125	1.6867	0.4692	1.5849
131.8260	179.8564	649.5563	185.8449	1.6947	0.4692	1.6401
131.9784	181.1200	649.5563	193.9044	1.6829	0.4692	1.5719
132.1308	178.1255	649.1458	193.7642	1.7112	0.4695	1.5731
132.2832	176.6033	714.3677	187.8268	1.7259	0.4267	1.6228
132.4356	173.5929	730.8574	190.5444	1.7559	0.4170	1.5996
132.5880	173.0268	732.5091	190.2404	1.7616	0.4161	1.6022
132.7404	172.2387	732.3481	194.4395	1.7697	0.4162	1.5676
132.8928	171.0174	732.2466	189.9916	1.7823	0.4163	1.6043
133.0452	169.5782	732.2466	186.0155	1.7974	0.4163	1.6386
133.1976	169.0946	732.0400	183.0936	1.8026	0.4164	1.6647
133.3500	169.5482	731.7834	182.3708	1.7977	0.4165	1.6713
133.5024	169.3558	723.2010	185.7960	1.7998	0.4215	1.6405
133.6548	167.7930	689.4499	185.7300	1.8165	0.4421	1.6411
133.8072	167.9138	656.6765	185.2156	1.8152	0.4642	1.6457
133.9596	175.5392	633.3954	183.6932	1.7364	0.4812	1.6593
134.1120	177.3067	700.8221	180.9823	1.7191	0.4349	1.6842
134.2644	177.2498	720.6141	182.6567	1.7196	0.4230	1.6687
134.4168	177.0319	720.4619	182.2464	1.7217	0.4231	1.6725
134.5692	177.1440	684.5965	181.4870	1.7207	0.4452	1.6795
134.7216	177.4892	626.8065	188.3809	1.7173	0.4863	1.6180
134.8740	177.8334	593.6397	200.8160	1.7140	0.5134	1.5178
135.0264	178.1775	556.3040	200.8160	1.7107	0.5479	1.5178
135.1788	178.5217	489.7862	200.8160	1.7074	0.6223	1.5178
135.3312	178.9088	489.4756	204.5689	1.7037	0.6227	1.4900
135.4836	179.2960	474.1488	233.0536	1.7000	0.6428	1.3079
135.6360	179.6832	464.1328	233.0536	1.6963	0.6567	1.3079
135.7884	180.0703	713.7174	233.0536	1.6927	0.4271	1.3079
