HOLE:	1230A
LEG:	201
TOP:	0.1519
BOTTOM:	266.3947
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%	
33.9847	4.5220	2.9938	0.0801	0.4872	0.1974	-0.1371
34.1371	5.0308	3.5357	0.0837	0.6390	0.1763	-0.1371
34.2895	5.4292	3.3620	0.0891	0.5520	0.2485	-0.1371
34.4419	5.8850	4.5733	0.0975	0.8901	0.1791	-0.1371
34.5943	6.3748	5.1703	0.1225	0.9340	0.1794	-0.1371
34.7467	6.9340	5.5072	0.1233	1.0371	0.2107	-0.1371
34.8991	6.6602	5.1226	0.1057	1.0173	0.2332	-0.1371
35.0515	6.0599	4.3561	0.0792	0.9279	0.2412	-0.1371
35.2039	5.7866	3.9886	0.0603	0.9207	0.2777	-0.1371
35.3563	5.8611	4.0395	0.0613	0.9313	0.2783	-0.1371
35.5087	6.2027	3.9611	0.0616	0.9042	0.3620	-0.1371
35.6611	5.7078	3.8386	0.0652	0.8443	0.2908	-0.1371
35.8135	6.0774	3.8479	0.0613	0.8699	0.3474	-0.1371
35.9659	5.8776	4.1958	0.0710	0.9242	0.2550	-0.1371
36.1183	6.3926	3.3731	0.0764	0.6302	0.4095	-0.1371
36.2707	6.4897	3.9994	0.0811	0.8024	0.3445	-0.1371
36.4231	6.6167	3.9957	0.0841	0.7838	0.3677	-0.1371
36.5755	6.5605	3.8248	0.0793	0.7573	0.3823	-0.1371
36.7279	6.1687	3.8861	0.0807	0.7686	0.3252	-0.1371
36.8803	6.7508	4.3674	0.0916	0.8588	0.3437	-0.1371
37.0327	7.1864	4.6473	0.1068	0.8587	0.3759	-0.1371
37.1851	8.0965	5.1973	0.1203	0.9555	0.4170	-0.1371
37.3375	7.8388	5.9175	0.1318	1.1181	0.3189	-0.1371
37.4899	7.5420	5.8898	0.1218	1.1681	0.2789	-0.1371
37.6423	6.6287	4.7401	0.0973	0.9440	0.2921	-0.1371
37.7947	6.4455	4.6401	0.0988	0.9035	0.2693	-0.1371
37.9471	6.2188	3.5465	0.0725	0.7080	0.3817	-0.1371
38.0995	5.7030	3.3846	0.0728	0.6547	0.3421	-0.1371
38.2519	5.5958	3.7034	0.0803	0.7124	0.2816	-0.1371
38.4043	5.5225	3.9283	0.0916	0.7185	0.2266	-0.1371
38.5567	6.0622	4.5240	0.1204	0.7402	0.2069	-0.1371
38.7091	5.9617	4.4011	0.1099	0.7621	0.2012	-0.1371
38.8615	6.9439	5.2311	0.1359	0.8749	0.2291	-0.1371
39.0139	6.5568	4.1293	0.1166	0.6359	0.3223	-0.1371
39.1663	6.6615	3.9197	0.1314	0.4829	0.3818	-0.1371
39.3187	5.7896	3.4075	0.1126	0.4292	0.3522	-0.1371
39.4711	5.6813	3.5344	0.1054	0.5115	0.3315	-0.1371
39.6235	5.3757	3.6161	0.1136	0.4898	0.2634	-0.1371
39.7759	5.2266	3.4439	0.1047	0.4868	0.2540	-0.1371
39.9283	5.9908	3.7869	0.1190	0.5128	0.3102	-0.1371
40.0807	6.0576	4.0364	0.1151	0.6150	0.3162	-0.1371
40.2331	6.0262	4.0763	0.1089	0.6646	0.3123	-0.1371
40.3855	5.3321	3.5468	0.0978	0.5601	0.2820	-0.1371
40.5379	5.3083	3.6372	0.0827	0.6777	0.2774	-0.1371
40.6903	5.1293	3.5753	0.0747	0.7044	0.2502	-0.1371
40.8427	5.0495	3.4187	0.0666	0.7018	0.2448	-0.1371
40.9951	5.4845	3.8148	0.0744	0.7824	0.2381	-0.1371
41.1475	5.4376	3.7075	0.0776	0.7295	0.2398	-0.1371
41.2999	5.4403	3.7791	0.0782	0.7491	0.2336	-0.1371
41.4523	5.0565	3.4561	0.0755	0.6616	0.2218	-0.1371
41.6047	5.4183	3.7825	0.0848	0.7117	0.2367	-0.1371
41.7571	5.4782	3.9623	0.1049	0.6515	0.2059	-0.1371
