HOLE: 1230A								
LEG: 201								
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS								
DATE: 3/16/2002		Sea Floor Depth: 5099 mbrf						
Depth	Temp	Pressure						
(mbsf)	(degC)	(bar)						
112.3400	5.20	530.07						
112.1100	5.20	529.86						
111.8400	5.21	530.00						
111.6500	5.20	530.00						
111.4700	5.20	530.00						
111.4300	5.19	530.00						
111.2600	5.22	530.07						
111.0200	5.19	530.07						
110.7500	5.20	530.07						
110.7000	5.21	530.14						
110.7500	5.21	530.07						
110.7900	5.21	529.93						
110.8500	5.18	529.86						
110.9700	5.22	529.93						
111.2600	5.22	530.00						
111.6000	5.20	530.00						
111.7900	5.23	529.72						
112.0000	5.23	530.00						
112.3600	5.20	530.14						
112.7400	5.21	530.14						
113.0800	5.19	530.00						
112.9600	5.19	530.00						
112.9600	5.22	530.00						
112.9600	5.22	530.14						
112.9600	5.23	530.21						
112.9600	5.20	530.34						
112.9900	5.22	530.07						
113.0200	5.21	529.86						
113.1400	5.21	529.86						
113.3200	5.22	530.00						
113.5500	5.22	530.14						
113.7900	5.20	530.21						
113.9400	5.20	530.07						
114.1100	5.22	530.00						
114.4100	5.24	530.00						
114.7200	5.24	529.86						
114.8100	5.20	529.86						
114.8200	5.21	529.86						
114.8300	5.19	529.86						
114.8400	5.23	529.79						
114.8500	5.22	529.66						
114.8600	5.20	529.93						
114.8600	5.24	529.86						
114.8700	5.20	529.86						
114.8700	5.21	529.93						
114.8800	5.22	529.66						
114.9700	5.20	529.66						
114.9800	5.22	529.86						
114.9800	5.18	530.00						
114.9800	5.22	530.07						
114.9900	5.20	529.86						
114.9900	5.21	529.72						
114.9900	5.20	529.93						
114.9900	5.20	530.00						
115.0100	5.21	530.00						
115.0400	5.18	530.14						
115.1000	5.24	530.21						
115.3400	5.21	530.21						
115.4800	5.19	530.00						
115.4400	5.21	529.86						
115.3900	5.23	530.07						
115.3900	5.23	530.21						
115.3900	5.21	530.21						
115.3900	5.20	529.93						
115.4200	5.20	529.86						
115.5300	5.21	530.14						
115.6400	5.20	530.07						
115.8000	5.24	530.07						
116.0400	5.19	530.07						
116.2900	5.20	530.21						
116.5500	5.20	530.21						
116.7900	5.22	530.28						
117.1300	5.22	530.21						
117.4200	5.23	530.00						
117.5900	5.19	530.00						
117.7400	5.22	530.00						
117.9200	5.24	530.07						
118.0700	5.21	530.07						
118.2100	5.20	530.14						
118.3600	5.20	530.14						
118.5400	5.20	530.34						
118.6900	5.21	530.28						
118.8600	5.22	530.14						
119.0300	5.19	530.07						
119.1400	5.21	530.00						
119.2400	5.18	530.21						
119.4100	5.21	530.41						
119.5800	5.21	530.14						
119.7400	5.23	529.79						
119.9200	5.20	530.07						
120.1300	5.23	530.21						
120.3500	5.21	530.28						
120.5800	5.21	530.21						
120.8000	5.20	530.34						
