HOLE:	1230A
LEG:	201
TOP:	87.0199
BOTTOM:	266.3947
DEPTH_WMSF	CALI
m	in
210.1591	17.7877
210.3115	17.8170
210.4639	17.7785
210.6163	18.1697
210.7687	18.2491
210.9211	18.2462
211.0735	18.0290
211.2259	17.4217
211.3783	17.5724
211.5307	16.7691
211.6831	16.5561
211.8355	16.6849
211.9879	17.2454
212.1403	17.2966
212.2927	16.7019
212.4451	18.0594
212.5975	18.2659
212.7499	18.2670
212.9023	18.2540
213.0547	18.2629
213.2071	17.3182
213.3595	15.9833
213.5119	15.9884
213.6643	15.9822
213.8167	15.8681
213.9691	15.8331
214.1215	15.7807
214.2739	15.9519
214.4263	16.7103
214.5787	17.2310
214.7311	18.1967
214.8835	18.2630
215.0359	18.2557
215.1883	18.0833
215.3407	16.5031
215.4931	16.0399
215.6455	15.7050
215.7979	15.3726
215.9503	15.5785
216.1027	16.2682
216.2551	16.4676
216.4075	17.5819
216.5599	17.7925
216.7123	17.7305
216.8647	17.8527
217.0171	17.4627
217.1695	15.4717
217.3219	15.8668
217.4743	17.5341
217.6267	18.2187
217.7791	18.2308
217.9315	17.7612
218.0839	16.2704
218.2363	16.1615
218.3887	16.6787
218.5411	17.5178
218.6935	18.0697
218.8459	18.0697
218.9983	18.1794
219.1507	17.7044
219.3031	18.1732
219.4555	18.2638
219.6079	17.8910
219.7603	17.8881
219.9127	18.0287
220.0651	17.6447
220.2175	16.8280
220.3699	17.1435
220.5223	17.5887
220.6747	17.9449
220.8271	18.2569
220.9795	18.2600
221.1319	17.5863
221.2843	16.1018
221.4367	16.4945
221.5891	15.9821
221.7415	16.6951
221.8939	16.9676
222.0463	16.8984
222.1987	17.2628
222.3511	18.1662
222.5035	18.2460
222.6559	18.2607
222.8083	17.4884
222.9607	16.6454
223.1131	16.5876
223.2655	16.7622
223.4179	16.8736
223.5703	16.1416
223.7227	16.4469
223.8751	16.0692
224.0275	14.1139
224.1799	14.9022
224.3323	15.0782
224.4847	13.9296
224.6371	13.7464
224.7895	13.7590
224.9419	15.1513
225.0943	15.3331
225.2467	15.6502
225.3991	15.6053
225.5515	15.5996
225.7039	15.2985
225.8563	17.1924
226.0087	17.7251
226.1611	17.8964
226.3135	18.2564
226.4659	18.2618
226.6183	18.2575
226.7707	18.2731
226.9231	18.2511
227.0755	18.2726
227.2279	18.2519
227.3803	18.2609
227.5327	17.4795
227.6851	15.7417
227.8375	15.8026
227.9899	15.9180
228.1423	15.9389
228.2947	16.5125
228.4471	16.0199
228.5995	16.0597
228.7519	16.9716
228.9043	18.1662
229.0567	18.0913
229.2091	18.2363
229.3615	17.2378
229.5139	17.5340
229.6663	17.6265
229.8187	16.8648
229.9711	16.8049
230.1235	17.1304
230.2759	17.6318
230.4283	17.6188
230.5807	16.8597
230.7331	17.0205
230.8855	13.2246
231.0379	14.2976
231.1903	16.5835
231.3427	14.4246
231.4951	14.7678
231.6475	16.2660
231.7999	15.9716
231.9523	17.1309
232.1047	17.4998
232.2571	17.2738
232.4095	17.1256
232.5619	17.1729
232.7143	15.8648
232.8667	15.6898
233.0191	15.6849
233.1715	15.6827
233.3239	15.6935
233.4763	15.9170
233.6287	15.5544
233.7811	15.1021
233.9335	15.5392
234.0859	16.7888
234.2383	17.0146
234.3907	17.1543
234.5431	17.4352
234.6955	17.5231
234.8479	17.6063
235.0003	16.5367
235.1527	17.7581
235.3051	17.8355
235.4575	18.0317
235.6099	18.2479
235.7623	18.2387
235.9147	17.8828
236.0671	16.9886
236.2195	17.7256
236.3719	16.3073
236.5243	16.1627
236.6767	16.1801
236.8291	16.3041
236.9815	17.2378
237.1339	18.0926
237.2863	18.2600
237.4387	18.2676
237.5911	18.2317
237.7435	18.2478
237.8959	18.2616
238.0483	18.2589
238.2007	17.2021
238.3531	18.2420
238.5055	18.2622
238.6579	18.2698
238.8103	18.2413
238.9627	18.2580
239.1151	18.2578
239.2675	18.2578
239.4199	16.9163
239.5723	15.6669
239.7247	15.4964
239.8771	14.7145
240.0295	14.4808
240.1819	13.8795
240.3343	13.9728
240.4867	14.0024
240.6391	14.0145
240.7915	14.0056
240.9439	14.0045
241.0963	13.9491
241.2487	12.6582
241.4011	13.4716
241.5535	13.6979
241.7059	13.6984
241.8583	13.7097
242.0107	13.7016
242.1631	13.8915
242.3155	14.8280
242.4679	14.9027
242.6203	14.9173
242.7727	15.1943
242.9251	15.2636
243.0775	15.3205
243.2299	15.9705
243.3823	16.9015
243.5347	16.9319
243.6871	17.7791
243.8395	18.2209
243.9919	15.9234
244.1443	14.7471
244.2967	14.7860
244.4491	15.3632
244.6015	17.4609
244.7539	17.5472
244.9063	17.5378
245.0587	17.2724
245.2111	16.7689
245.3635	16.6066
245.5159	16.5727
245.6683	16.5499
245.8207	16.3103
245.9731	15.8247
246.1255	17.2586
246.2779	17.4166
246.4303	18.1211
246.5827	18.1995
246.7351	18.2361
246.8875	18.2565
247.0399	18.2575
247.1923	18.2583
247.3447	18.0844
247.4971	14.1348
247.6495	12.9578
247.8019	12.9604
247.9543	12.9762
248.1067	13.6019
248.2591	13.2989
248.4115	13.2407
248.5639	13.1785
248.7163	13.3488
248.8687	13.4863
249.0211	13.5148
249.1735	13.6722
249.3259	13.9323
249.4783	13.9116
249.6307	13.7278
249.7831	13.9308
249.9355	13.9146
250.0879	13.9075
250.2403	13.9060
250.3927	13.9732
250.5451	14.2598
250.6975	14.2970
250.8499	14.2767
251.0023	13.5697
251.1547	13.6429
251.3071	13.6528
251.4595	13.6478
251.6119	14.1478
251.7643	14.3288
251.9167	14.3360
252.0691	14.3549
252.2215	14.3670
252.3739	14.3698
252.5263	14.3638
252.6787	14.3649
252.8311	14.6643
252.9835	15.4188
253.1359	14.9782
253.2883	14.7481
253.4407	14.4462
253.5931	14.4576
253.7455	14.6430
253.8979	14.5534
254.0503	14.5908
254.2027	14.6315
254.3551	14.6301
254.5075	14.6376
254.6599	14.5736
254.8123	14.6719
254.9647	14.8285
255.1171	14.8099
255.2695	14.8158
255.4219	14.8270
255.5743	14.8367
255.7267	14.8255
255.8791	15.2399
256.0315	14.7629
256.1839	14.8538
256.3363	14.9097
256.4887	15.0913
256.6411	15.1157
256.7935	14.1844
256.9459	14.3133
257.0983	14.4411
257.2507	14.6845
257.4031	14.8784
257.5555	14.5841
257.7079	14.8070
257.8603	14.8712
258.0127	15.4791
258.1651	16.5806
258.3175	16.5848
258.4699	16.4663
258.6223	16.6426
258.7747	17.2201
258.9271	17.4882
259.0795	18.1852
259.2319	18.2553
259.3843	18.2692
259.5367	17.2469
259.6891	17.4175
259.8415	17.6719
259.9939	17.5822
260.1463	17.5638
260.2987	17.6943
260.4511	17.6992
260.6035	18.0907
260.7559	17.7507
260.9083	17.3392
261.0607	16.6173
261.2131	15.4639
261.3655	15.3916
261.5179	15.1063
261.6703	14.4459
261.8227	14.4540
261.9751	14.5889
262.1275	14.6320
262.2799	14.6014
262.4323	14.3782
262.5847	14.2168
262.7371	14.2200
262.8895	14.3546
263.0419	15.0558
263.1943	15.1825
263.3467	15.0984
263.4991	14.9871
263.6515	15.0008
263.8039	15.0685
263.9563	14.9458
264.1087	14.6385
264.2611	14.5786
264.4135	14.7190
264.5659	14.8680
264.7183	14.8945
264.8707	15.2864
265.0231	15.9646
265.1755	16.0083
265.3279	16.1075
265.4803	16.3725
265.6327	16.1654
265.7851	15.9593
265.9375	14.9160
266.0899	14.4646
266.2423	14.0898
266.3947	2.7922
