HOLE:	1230A
LEG:	201
TOP:	80.1619
BOTTOM:	272.1859
DEPTH_WMSF	RHOB	DRHO	PEF
m	g/cm3	g/cm3	barns/e-
156.3619	1.4931	0.0164	2.5619
156.5143	1.5004	0.0124	2.6614
156.6667	1.5162	0.0108	2.7173
156.8191	1.5378	0.0065	2.6927
156.9715	1.5497	-0.0018	2.7594
157.1239	1.5649	0.0048	2.8326
157.2763	1.5524	0.0015	2.9127
157.4287	1.5353	-0.0021	2.8458
157.5811	1.5222	0.0070	2.7912
157.7335	1.5076	0.0121	2.6584
157.8859	1.4996	0.0145	2.6091
158.0383	1.5076	0.0183	2.6049
158.1907	1.5303	0.0213	2.6588
158.3431	1.5570	0.0216	2.6573
158.4955	1.5732	0.0123	2.7229
158.6479	1.5757	0.0002	2.8065
158.8003	1.5873	0.0059	2.9228
158.9527	1.5780	-0.0034	2.8217
159.1051	1.5739	0.0018	2.7167
159.2575	1.5767	0.0114	2.7124
159.4099	1.5768	0.0083	2.8651
159.5623	1.5875	0.0077	2.9931
159.7147	1.5772	0.0005	2.9782
159.8671	1.5745	0.0091	2.9019
160.0195	1.5820	0.0325	2.8031
160.1719	1.5819	0.0506	2.7212
160.3243	1.5721	0.0656	2.6654
160.4767	1.5286	0.0419	2.7366
160.6291	1.5130	0.0319	2.8011
160.7815	1.4968	0.0162	2.7764
160.9339	1.4968	0.0146	2.6912
161.0863	1.4996	0.0164	2.6401
161.2387	1.5113	0.0238	2.6356
161.3911	1.5126	0.0237	2.5755
161.5435	1.5062	0.0169	2.5571
161.6959	1.5019	0.0097	2.5519
161.8483	1.5165	0.0212	2.5975
162.0007	1.5232	0.0269	2.5838
162.1531	1.5213	0.0243	2.6193
162.3055	1.5143	0.0180	2.6174
162.4579	1.5207	0.0244	2.6063
162.6103	1.5296	0.0326	2.5662
162.7627	1.5311	0.0327	2.4895
162.9151	1.5093	0.0182	2.4322
163.0675	1.4951	0.0139	2.3899
163.2199	1.4868	0.0145	2.3820
163.3723	1.4894	0.0172	2.4828
163.5247	1.4958	0.0173	2.5459
163.6771	1.4998	0.0127	2.6610
163.8295	1.5072	0.0128	2.6170
163.9819	1.4992	0.0031	2.6390
164.1343	1.5025	0.0054	2.5721
164.2867	1.5035	0.0078	2.5759
164.4391	1.5148	0.0142	2.5606
164.5915	1.5156	0.0116	2.6059
164.7439	1.5216	0.0088	2.6800
164.8963	1.5377	0.0148	2.6882
165.0487	1.5509	0.0194	2.7234
165.2011	1.5576	0.0170	2.6902
165.3535	1.5478	0.0091	2.6985
165.5059	1.5423	0.0073	2.6568
165.6583	1.5386	0.0086	2.6436
165.8107	1.5393	0.0095	2.6446
165.9631	1.5405	0.0052	2.7083
166.1155	1.5483	0.0092	2.7258
166.2679	1.5493	0.0080	2.7813
166.4203	1.5444	0.0075	2.7482
166.5727	1.5304	0.0024	2.7512
166.7251	1.5256	0.0043	2.6950
166.8775	1.5254	0.0096	2.6844
167.0299	1.5307	0.0112	2.6418
167.1823	1.5312	0.0120	2.6617
167.3347	1.5345	0.0104	2.6652
167.4871	1.5223	0.0058	2.7192
167.6395	1.5257	0.0099	2.6473
167.7919	1.5193	0.0070	2.6635
167.9443	1.5297	0.0114	2.6138
168.0967	1.5213	0.0022	2.6744
168.2491	1.5272	0.0032	2.6733
168.4015	1.5330	0.0060	2.7297
168.5539	1.5443	0.0167	2.7359
168.7063	1.5531	0.0293	2.6895
168.8587	1.5695	0.0500	2.6087
169.0111	1.5651	0.0463	2.6034
169.1635	1.5632	0.0356	2.7032
169.3159	1.5515	0.0133	2.8122
169.4683	1.5577	0.0108	2.8350
169.6207	1.5553	0.0123	2.7727
169.7731	1.5656	0.0251	2.7268
169.9255	1.5717	0.0331	2.7257
