HOLE:	1249A
LEG:	204
TOP:	0.0241
BOTTOM:	90.1839
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
8.5280	4.6417	3.5904	1.9948	4.1727	4.7563
8.5585	4.0165	3.6356	2.0642	4.0138	4.4084
8.5890	4.2476	3.5932	2.0872	4.3246	4.8585
8.6194	4.4564	3.1856	1.9678	4.2366	4.9805
8.6499	4.0719	3.1770	1.9005	4.7068	5.1085
8.6804	4.0027	3.4155	1.9373	4.3067	4.9088
8.7109	4.0752	3.3099	1.9802	4.1511	5.0078
8.7414	3.8381	3.2915	2.0186	4.0208	5.0816
8.7718	3.8593	3.3726	2.1596	3.9391	5.1544
8.8023	3.6292	3.2406	2.1472	4.0834	5.1896
8.8328	3.4757	3.3230	2.0109	3.7675	5.0290
8.8633	3.7849	3.1756	1.9389	4.4265	5.1872
8.8938	3.3906	3.0094	1.5964	3.8398	5.2600
8.9242	3.3846	3.7144	1.8267	3.9900	5.3195
8.9547	3.4122	2.7534	1.4599	3.7522	5.3216
8.9852	3.4299	2.9612	1.9717	3.5597	5.3369
9.0157	3.5921	2.4533	1.5327	3.6218	5.3655
9.0462	3.3024	2.9246	1.3989	3.9705	5.3005
9.0766	2.8835	2.2606	1.7570	3.7835	5.3468
9.1071	3.3346	2.7245	1.3471	3.9825	5.4616
9.1376	2.8582	2.4209	1.6056	3.7937	5.3926
9.1681	2.9140	2.1724	1.4601	3.6908	5.3141
9.1986	2.6426	2.5153	1.4372	3.6972	5.1502
9.2290	2.8806	2.1342	1.2772	3.6460	5.0034
9.2595	2.4938	2.5296	0.9862	3.6915	4.9638
9.2900	2.8054	2.3624	1.2042	3.6661	4.9270
9.3205	2.7830	2.2497	1.2209	3.4656	4.8687
9.3510	2.7241	2.1928	1.1092	3.8081	4.7785
9.3814	2.9043	1.6139	1.4234	3.6747	4.7839
9.4119	3.2093	2.0378	1.3563	3.8045	4.8020
9.4424	3.2670	2.3165	1.3731	3.6883	4.7665
9.4729	3.0424	2.2755	1.2867	3.7235	4.7541
9.5034	3.4773	2.5926	1.4201	4.0620	4.6938
9.5338	3.5515	2.7633	1.4217	3.9995	4.6280
9.5643	3.5449	2.6570	1.9188	3.9427	4.5948
9.5948	3.4672	2.4769	1.7493	4.1355	4.6116
9.6253	3.4522	2.8102	1.9751	3.9026	4.5450
9.6558	4.1914	3.1813	2.2290	4.7361	4.5439
9.6862	3.5830	3.5742	2.5284	4.6962	4.4909
9.7167	4.0224	3.5771	1.8581	5.3381	4.5154
9.7472	4.6481	3.6383	2.0642	6.7132	4.5381
9.7777	4.5758	3.8749	2.8279	6.2342	4.4824
9.8082	7.1049	8.4727	3.4601	10.2981	4.4747
9.8386	6.0934	5.5465	2.8870	7.5035	4.5613
9.8691	14.2538	5.2769	5.5246	8.9847	4.4860
9.8996	10.2887	7.1291	11.6702	13.9474	4.5242
9.9301	8.3275	10.0094	14.4747	14.0768	4.4353
9.9606	11.1419	8.5049	6.8343	12.3178	4.4980
9.9910	52.4810	27.2277	5.1291	38.6147	4.5828
10.0215	13.1451	135.7565	6.3174	193.3089	4.5314
10.0520	10.1762	259.4868	14.7121	534.8500	4.4968
10.0825	14.8092	392.3383	12.2731	70.4388	4.5846
10.1130	77.1673	650.5737	7.7304	10.7500	4.4299
10.1434	71.5650	562.4314	9.3662	18.3883	4.6009
10.1739	19.8580	237.5781	46.9029	16.5887	4.5973
10.2044	18.8885	32.0307	27.5841	22.9745	4.5627
10.2349	14.5633	13.7849	13.1990	11.1587	4.7298
10.2654	12.7037	17.6137	11.9606	10.0384	4.5284
10.2958	11.2526	14.1176	12.0939	16.6327	4.8578
10.3263	10.2759	13.4615	8.2839	9.1041	4.6276
10.3568	10.8879	9.0927	3.6192	6.9066	4.9520
10.3873	10.9731	7.8390	4.2322	6.2488	4.5590
10.4178	9.7153	6.9039	5.9267	6.0028	4.8088
10.4482	9.7667	7.1799	3.7351	5.7650	4.6261
10.4787	5.6828	6.7288	3.3369	5.4533	4.7972
10.5092	5.9433	4.9129	3.9291	5.2098	4.5538
10.5397	5.7933	5.8797	3.3301	5.2446	4.8394
