HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	91.4336
DEPTH_LSF	ROP5	GRTK	B3TM	B2TM	B1TM	RTIM	RBTM	DTAB	NTAB	RPM	ARPM
m	m/hr	s	s	s	s	s	s	s	s	rpm	rpm	
22.2440	18.4109	569.0781	698.8750	748.7969	778.7500	658.9375	249.5938	5710.8438	5865.5938	42.0000	52.2500
22.3964	18.6616	574.0781	703.8594	743.7969	783.7344	653.9531	229.6250	5710.8438	5865.5938	38.9266	53.0000
22.5488	18.9193	564.0938	698.8750	748.7969	778.7500	663.9219	209.6562	5705.8594	5865.5938	40.9999	54.0000
22.7012	20.3204	569.0781	713.8438	763.7656	788.7344	663.9219	209.6562	5695.8750	5855.6094	39.4377	55.2000
22.8536	20.8598	589.0625	723.8438	773.7656	798.7188	683.9062	214.6562	5690.8750	5845.6250	41.0000	55.0000
23.0060	21.4308	594.0469	733.8281	773.7656	803.7031	693.8906	214.6562	5665.9219	5820.6719	30.9998	57.0000
23.1584	19.1156	594.0469	723.8438	768.7656	798.7188	683.9062	219.6562	5645.9531	5810.6875	41.4346	54.5000
23.3108	19.1156	614.0156	743.7969	788.7344	823.6719	708.8594	234.6250	5645.9531	5815.6875	35.0003	51.8000
23.4632	21.0198	638.9688	763.7656	808.7031	828.6719	718.8438	229.6250	5650.9531	5810.6875	34.0000	56.2500
23.6156	20.0234	658.9375	783.7344	813.6875	853.6250	743.7969	244.6094	5640.9531	5800.7031	30.0001	55.7500
23.7680	19.5939	663.9219	788.7344	838.6562	853.6250	758.7812	249.5938	5640.9688	5795.7188	38.0770	54.4000
23.9204	19.2499	683.9062	808.7031	838.6562	863.6094	763.7812	244.6094	5635.9688	5790.7188	33.0001	54.5000
24.0728	18.9177	683.9062	793.7344	833.6719	878.5938	768.7812	239.6250	5620.9844	5765.7500	43.0000	55.4000
24.2252	18.1068	688.9062	798.7188	853.6406	898.5625	763.7812	249.6094	5611.0000	5755.7656	36.6539	54.7500
24.3776	18.1068	668.9219	803.7031	863.6094	898.5625	748.7969	234.6250	5601.0312	5740.7969	40.6901	54.2000
24.5300	17.1991	678.9062	823.6719	873.5938	908.5469	768.7656	244.6094	5581.0625	5725.8281	35.8847	56.5000
24.6824	17.6989	683.8906	848.6406	898.5469	938.4844	798.7188	269.5625	5561.0938	5710.8438	42.9998	55.0000
24.8348	17.1991	698.8750	858.6250	913.5312	943.4844	813.6875	274.5469	5546.1250	5705.8594	39.0000	51.0000
24.9872	16.2325	723.8438	883.5781	923.5156	963.4531	833.6719	294.5312	5516.1562	5680.8906	37.0000	53.5000
25.1396	15.6754	748.8125	893.5781	943.5000	978.4375	853.6406	309.5156	5491.2031	5665.9219	40.2397	57.5000
25.2920	15.0730	768.7656	913.5312	958.4688	988.4219	863.6094	319.4844	5476.2188	5655.9219	37.9999	55.5000
25.4444	14.5142	763.7812	908.5469	953.4688	993.4062	863.6250	314.5000	5461.2500	5645.9531	43.9998	55.0000
25.5968	14.4386	773.7656	913.5469	968.4531	998.4062	873.6094	314.5000	5441.2812	5620.9844	41.3960	53.3333
25.7492	14.3245	783.7344	928.5000	968.4375	1003.3906	873.5938	324.4688	5441.2812	5601.0156	36.4422	56.4000
25.9016	13.9962	778.7500	918.5312	963.4531	998.4062	883.5781	314.5000	5426.2969	5576.0625	39.0000	52.8333
26.0540	14.5142	783.7500	923.5312	968.4531	993.4219	878.5938	309.5156	5426.3125	5566.0781	36.0000	56.5000
26.2064	14.7089	783.7344	918.5312	953.4688	988.4062	873.5938	304.5156	5406.3281	5531.1250	37.0000	58.0000
26.3588	14.9496	778.7500	908.5469	953.4688	983.4219	873.5938	289.5312	5406.3438	5521.1562	39.0000	53.8000
26.5112	15.6307	778.7500	908.5312	948.4688	978.4219	863.6094	279.5469	5406.3281	5501.1875	40.0000	54.4000
26.6636	15.6754	778.7500	903.5469	948.4688	978.4219	868.5938	289.5312	5381.3750	5471.2344	39.2365	58.5000
26.8160	14.8283	788.7344	913.5312	963.4531	993.4062	873.5938	314.5000	5341.4375	5431.2969	39.0000	57.0000
26.9684	14.6696	778.7500	908.5469	953.4844	988.4219	868.6094	314.5000	5311.4844	5406.3438	41.9999	54.3333
27.1208	14.6696	783.7344	913.5312	958.4531	993.4062	868.6094	324.4844	5286.5312	5381.3750	43.9997	53.0000
27.2732	14.1406	783.7500	918.5312	968.4531	1542.5312	873.6094	334.4688	5251.5938	5356.4219	40.0000	53.0000
27.4256	14.1406	783.7344	923.5156	1517.5625	1532.5312	878.5938	334.4531	5231.6094	5346.4219	41.0000	58.0000
27.5780	13.9605	793.7188	1477.6250	1502.5781	1522.5469	888.5625	349.4375	5201.6562	5341.4375	35.9996	56.0000
27.7304	13.5131	808.7031	1477.6250	1502.5938	1522.5625	1452.6719	364.4219	5176.7031	5331.4531	40.4537	55.5000
27.8828	13.2517	798.7188	1452.6719	1482.6250	1502.5938	1432.7031	354.4375	5156.7344	5326.4688	44.0000	57.6667
28.0352	13.1880	1342.8438	1422.7188	1452.6719	1467.6406	1392.7656	354.4219	5121.7969	5316.4844	47.4584	52.0000
28.1876	12.3015	1327.8750	1402.7500	1427.7188	1442.6875	1377.7969	339.4531	5101.8281	5311.4844	48.0000	54.0000
28.3400	12.7005	1292.9219	1377.7812	1402.7500	1417.7188	1357.8125	334.4531	5081.8594	5291.5312	35.4152	56.0000
28.4924	13.3161	1282.9531	1357.8281	1382.7969	1402.7656	1337.8594	334.4688	5071.8594	5276.5469	42.6422	55.8000
28.6448	13.2846	1267.9688	1337.8594	1367.8125	1387.7812	1317.8906	324.4844	5066.8750	5256.5625	46.2588	58.1429
28.7972	13.8547	1243.0000	1317.8906	1347.8281	1357.8125	1292.9219	319.4844	5066.8750	5251.5781	46.0000	56.5714
28.9496	13.6477	1223.0312	1302.9062	1322.8750	1332.8594	1277.9531	314.4844	5061.8906	5236.6094	46.8013	58.3333
29.1020	14.1034	1203.0625	1277.9375	1297.9062	1312.8906	1262.9688	309.5000	5061.8906	5226.6250	48.0062	57.3333
29.2544	14.3254	1178.1250	1243.0156	1262.9844	1277.9531	1228.0312	299.5312	5056.8906	5211.6406	45.1566	56.3333
29.4068	14.5527	1168.1406	1233.0312	1253.0000	1267.9688	1213.0625	309.5156	5041.9219	5196.6719	43.8690	56.0000
29.5592	14.4768	1153.1562	1208.0625	1228.0312	1248.0000	1188.0938	309.5156	5021.9531	5181.7031	41.0000	57.5000
29.7116	14.4768	1128.1875	1188.0938	1213.0625	1228.0312	1168.1250	309.5000	5006.9688	5171.7031	40.0000	56.0000
29.8640	14.7089	1108.2188	1173.1094	1193.0781	1213.0469	1153.1406	863.6094	4992.0000	5166.7188	48.9999	57.0000
30.0164	14.7089	1083.2656	1153.1562	1178.1250	1193.0938	1128.2031	843.6562	4432.8906	4612.5938	41.0000	56.6000
30.1688	14.2140	1073.2812	1143.1719	1163.1406	1183.1094	1118.2188	833.6719	4442.8750	4632.5781	45.0001	54.2500
30.3212	14.9090	1053.3125	1123.2031	1148.1719	1163.1406	1098.2500	823.6875	4437.8906	4632.5781	51.2352	56.8000
30.4736	15.6754	1038.3281	1108.2188	1133.1719	1148.1562	1083.2656	813.6875	4447.8750	4647.5469	43.0001	58.0000
30.6260	16.2796	1018.3594	1088.2500	1113.2031	1128.1875	1068.2812	793.7188	4442.8750	4642.5625	46.0000	58.2000
30.7784	16.4753	993.4062	1063.2969	1088.2500	1108.2188	1043.3281	768.7656	4442.8906	4647.5625	48.9999	55.8000
30.9308	16.4753	983.4219	1053.3125	1078.2656	1093.2500	1033.3438	758.7812	4452.8594	4662.5312	45.9999	57.3333
31.0832	17.3612	404.3438	479.2188	499.1875	519.1562	454.2656	179.7031	4462.8438	4667.5156	47.7134	57.6000
31.2356	18.4109	399.3594	469.2500	499.2031	514.1719	449.2812	184.7031	4472.8281	5291.5156	47.0000	58.5714
31.3880	19.3860	404.3594	479.2344	504.2031	519.1719	454.2812	184.7031	4477.8281	5286.5312	47.7988	58.2000
31.5404	21.5252	394.3750	469.2500	494.2188	514.1875	444.2969	169.7344	4482.8125	5276.5312	44.9201	57.6667
31.6928	21.5149	394.3594	464.2500	489.2188	509.1875	444.2812	159.7344	4492.7969	5281.5312	45.6262	56.3333
31.8452	24.9360	394.3594	469.2500	494.2031	509.1875	444.2812	159.7344	4507.7812	5286.5312	53.0000	56.6000
31.9976	26.1245	394.3594	469.2500	494.2031	509.1719	444.2812	154.7500	4517.7656	5291.5156	44.0001	57.3333
32.1500	25.8808	394.3594	469.2500	494.2031	514.1719	449.2812	154.7500	4527.7344	5291.5156	44.0000	58.0000
